"userid","module","rank","Cluster","order","nextOrder"
4606,"m9",1,27,8,7
2636,"m9",1,22,2,2
3894,"m9",1,3,4,4
4833,"m9",1,28,5,9
2748,"m9",1,23,3,9
2637,"m9",1,23,3,9
3198,"m9",1,12,9,3
4723,"m9",1,21,6,6
4400,"m9",1,29,4,9
4917,"m9",1,23,3,9
4742,"m9",1,1,4,3
2989,"m9",1,30,8,4
2660,"m9",1,3,4,4
3189,"m9",1,31,6,9
2315,"m9",1,32,6,8
4758,"m9",1,33,4,5
3971,"m9",1,29,4,9
5377,"m9",1,34,4,2
3395,"m9",1,29,4,9
2960,"m9",1,15,5,3
2377,"m9",1,20,3,2
3881,"m9",1,7,6,3
3285,"m8",3,1,7,3
2821,"m8",3,2,6,9
3185,"m8",3,3,3,6
2442,"m8",3,4,6,8
2674,"m8",3,2,6,9
3032,"m8",3,5,9,9
2388,"m8",3,2,6,9
2358,"m8",3,6,8,8
4146,"m8",3,2,6,9
74,"m8",3,7,8,9
3204,"m8",3,8,8,6
3461,"m8",3,9,9,8
4411,"m8",3,5,9,9
2409,"m8",3,10,5,6
2687,"m8",3,7,8,9
2557,"m8",3,5,9,9
2327,"m8",3,11,3,7
3000,"m8",3,7,8,9
2424,"m8",3,9,9,8
2523,"m8",3,9,9,8
2553,"m8",3,8,8,6
3385,"m8",3,5,9,9
2901,"m8",3,7,8,9
3272,"m8",3,9,9,8
2319,"m8",3,8,8,6
2458,"m8",3,9,9,8
2341,"m8",3,12,4,9
2707,"m8",3,8,8,6
2769,"m8",3,13,9,5
2535,"m8",3,6,8,8
2435,"m8",3,8,8,6
2664,"m8",3,14,9,6
2532,"m8",3,12,4,9
2350,"m8",3,5,9,9
3030,"m8",3,9,9,8
3407,"m8",3,5,9,9
2351,"m8",3,7,8,9
3298,"m8",3,15,8,4
2485,"m8",3,9,9,8
2422,"m8",3,16,1,1
4085,"m8",3,5,9,9
2352,"m8",3,11,3,7
2613,"m8",3,4,6,8
2708,"m8",3,7,8,9
2495,"m8",3,2,6,9
4166,"m8",3,14,9,6
2386,"m8",3,4,6,8
2461,"m8",3,13,9,5
3800,"m8",3,7,8,9
2941,"m8",3,4,6,8
2952,"m8",3,5,9,9
2948,"m8",3,14,9,6
2318,"m8",3,17,3,3
4309,"m8",3,5,9,9
3133,"m8",3,5,9,9
3866,"m8",3,8,8,6
2502,"m8",3,6,8,8
2392,"m8",3,4,6,8
2815,"m8",3,5,9,9
2800,"m8",3,5,9,9
3708,"m8",3,7,8,9
3058,"m8",3,6,8,8
2570,"m8",3,18,6,6
2788,"m8",3,5,9,9
2398,"m8",3,5,9,9
2741,"m8",3,4,6,8
2703,"m8",3,7,8,9
3901,"m8",3,5,9,9
2328,"m8",3,5,9,9
2604,"m8",2,1,3,3
3256,"m8",2,2,9,5
2389,"m8",2,3,9,9
3912,"m8",2,1,3,3
4062,"m8",2,4,3,5
3326,"m8",2,3,9,9
3421,"m8",2,3,9,9
2600,"m8",2,5,6,8
3166,"m8",2,6,6,9
4047,"m8",2,7,6,1
2534,"m8",2,6,6,9
3072,"m8",2,1,3,3
3952,"m8",2,8,5,8
2508,"m8",2,9,6,6
3126,"m8",2,1,3,3
2496,"m8",2,10,7,8
4043,"m8",2,11,9,8
3448,"m8",2,12,8,8
2513,"m8",2,13,8,6
3048,"m8",2,3,9,9
2912,"m8",2,14,3,6
3289,"m8",2,15,4,3
2448,"m8",2,16,7,9
3187,"m8",2,5,6,8
2519,"m8",2,13,8,6
2994,"m8",2,12,8,8
4229,"m8",2,17,5,5
2492,"m8",2,18,8,3
2969,"m8",2,5,6,8
2498,"m8",2,1,3,3
2694,"m8",2,19,8,4
3426,"m8",2,3,9,9
3817,"m8",2,11,9,8
3026,"m8",2,20,3,9
3254,"m8",2,3,9,9
2883,"m8",2,4,3,5
3848,"m8",2,15,4,3
3229,"m8",2,21,2,9
4434,"m8",2,22,9,6
2504,"m8",2,20,3,9
4358,"m8",2,3,9,9
2789,"m8",2,22,9,6
2767,"m8",2,3,9,9
3088,"m8",2,13,8,6
2391,"m8",2,9,6,6
2857,"m8",2,23,2,3
3219,"m8",2,24,9,7
2512,"m8",2,25,5,4
4300,"m8",2,9,6,6
2400,"m8",2,22,9,6
2425,"m8",2,3,9,9
4460,"m8",2,6,6,9
2803,"m8",2,26,8,9
3029,"m8",2,20,3,9
3476,"m8",2,3,9,9
2787,"m8",2,27,9,2
3303,"m8",2,11,9,8
2443,"m8",2,24,9,7
2383,"m8",2,28,3,8
2514,"m8",2,29,6,7
4407,"m8",2,30,9,4
4035,"m8",2,6,6,9
2414,"m8",2,5,6,8
3757,"m8",2,22,9,6
4052,"m8",2,12,8,8
2918,"m8",2,3,9,9
2390,"m8",2,8,5,8
2420,"m8",2,20,3,9
2416,"m8",2,31,7,4
4410,"m8",1,1,3,4
5195,"m8",1,2,9,2
4165,"m8",1,1,3,4
4193,"m8",1,3,1,1
3217,"m8",1,4,2,2
3799,"m8",1,5,8,9
3890,"m8",1,6,6,6
2956,"m8",1,1,3,4
2773,"m8",1,7,8,6
5210,"m8",1,8,4,4
2477,"m8",1,9,9,9
2718,"m8",1,8,4,4
4413,"m8",1,1,3,4
4049,"m8",1,10,4,3
2724,"m8",1,7,8,6
2515,"m8",1,11,3,3
5299,"m8",1,12,4,9
3068,"m8",1,13,5,3
2719,"m8",1,14,9,3
3931,"m8",1,15,4,6
2586,"m8",1,16,3,9
3724,"m8",1,17,3,5
3692,"m8",1,18,2,9
2367,"m8",1,9,9,9
4131,"m8",1,19,6,7
3366,"m8",1,20,9,8
4731,"m8",1,9,9,9
3967,"m8",1,21,9,6
3007,"m8",1,9,9,9
3715,"m8",1,8,4,4
2529,"m8",1,22,6,9
4489,"m8",1,23,3,8
3294,"m8",1,13,5,3
3903,"m8",1,11,3,3
2643,"m8",1,24,3,6
3428,"m8",1,25,5,9
2896,"m8",1,9,9,9
2446,"m8",1,26,3,2
4452,"m8",1,27,5,8
2886,"m8",1,11,3,3
4289,"m8",1,8,4,4
3310,"m8",1,28,2,3
4150,"m8",1,29,7,5
2646,"m8",1,30,7,7
4279,"m8",1,15,4,6
3070,"m8",1,31,9,5
3514,"m8",1,31,9,5
4606,"m8",1,32,4,8
2636,"m8",1,33,8,2
3894,"m8",1,8,4,4
4833,"m8",1,31,9,5
2748,"m8",1,11,3,3
2637,"m8",1,13,5,3
3198,"m8",1,22,6,9
4723,"m8",1,21,9,6
4400,"m8",1,34,9,4
4917,"m8",1,11,3,3
4742,"m8",1,1,3,4
2989,"m8",1,35,6,8
2660,"m8",1,8,4,4
3189,"m8",1,36,5,6
2315,"m8",1,36,5,6
4758,"m8",1,37,5,4
3971,"m8",1,1,3,4
5377,"m8",1,8,4,4
3395,"m8",1,34,9,4
2960,"m8",1,38,4,5
2377,"m8",1,39,7,3
3881,"m8",1,6,6,6
3285,"m7",3,1,2,7
2821,"m7",3,2,6,6
3185,"m7",3,3,6,3
2442,"m7",3,2,6,6
2674,"m7",3,2,6,6
3032,"m7",3,4,1,9
2388,"m7",3,2,6,6
2358,"m7",3,5,6,8
4146,"m7",3,6,9,6
74,"m7",3,5,6,8
3204,"m7",3,5,6,8
3461,"m7",3,7,9,9
4411,"m7",3,7,9,9
2409,"m7",3,8,6,5
2687,"m7",3,9,8,8
2557,"m7",3,10,6,9
2327,"m7",3,11,2,3
3000,"m7",3,9,8,8
2424,"m7",3,10,6,9
2523,"m7",3,12,8,9
2553,"m7",3,5,6,8
3385,"m7",3,10,6,9
2901,"m7",3,13,9,8
3272,"m7",3,10,6,9
2319,"m7",3,5,6,8
2458,"m7",3,10,6,9
2341,"m7",3,14,2,4
2707,"m7",3,5,6,8
2769,"m7",3,4,1,9
2535,"m7",3,5,6,8
2435,"m7",3,5,6,8
2664,"m7",3,10,6,9
2532,"m7",3,15,9,4
2350,"m7",3,7,9,9
3030,"m7",3,12,8,9
3407,"m7",3,12,8,9
2351,"m7",3,13,9,8
3298,"m7",3,5,6,8
2485,"m7",3,12,8,9
2422,"m7",3,16,6,1
4085,"m7",3,17,4,9
2352,"m7",3,3,6,3
2613,"m7",3,18,8,6
2708,"m7",3,9,8,8
2495,"m7",3,2,6,6
4166,"m7",3,12,8,9
2386,"m7",3,2,6,6
2461,"m7",3,10,6,9
3800,"m7",3,13,9,8
2941,"m7",3,2,6,6
2952,"m7",3,7,9,9
2948,"m7",3,10,6,9
2318,"m7",3,19,5,3
4309,"m7",3,7,9,9
3133,"m7",3,7,9,9
3866,"m7",3,5,6,8
2502,"m7",3,5,6,8
2392,"m7",3,18,8,6
2815,"m7",3,7,9,9
2800,"m7",3,12,8,9
3708,"m7",3,9,8,8
3058,"m7",3,20,5,8
2570,"m7",3,2,6,6
2788,"m7",3,10,6,9
2398,"m7",3,10,6,9
2741,"m7",3,18,8,6
2703,"m7",3,13,9,8
3901,"m7",3,7,9,9
2328,"m7",3,7,9,9
2604,"m7",2,1,8,3
3256,"m7",2,2,5,9
2389,"m7",2,3,8,9
3912,"m7",2,4,9,3
4062,"m7",2,5,2,3
3326,"m7",2,6,9,9
3421,"m7",2,7,1,9
2600,"m7",2,8,6,6
3166,"m7",2,8,6,6
4047,"m7",2,8,6,6
2534,"m7",2,8,6,6
3072,"m7",2,9,6,3
3952,"m7",2,10,8,5
2508,"m7",2,8,6,6
3126,"m7",2,9,6,3
2496,"m7",2,11,6,7
4043,"m7",2,12,6,9
3448,"m7",2,13,9,8
2513,"m7",2,14,6,8
3048,"m7",2,6,9,9
2912,"m7",2,9,6,3
3289,"m7",2,15,4,4
2448,"m7",2,11,6,7
3187,"m7",2,16,8,6
2519,"m7",2,17,8,8
2994,"m7",2,14,6,8
4229,"m7",2,18,1,5
2492,"m7",2,14,6,8
2969,"m7",2,8,6,6
2498,"m7",2,9,6,3
2694,"m7",2,17,8,8
3426,"m7",2,12,6,9
3817,"m7",2,7,1,9
3026,"m7",2,9,6,3
3254,"m7",2,12,6,9
