"userid","module","rank","Cluster","order","nextOrder"
3285,"m9",3,1,3,3
2821,"m9",3,1,3,3
3185,"m9",3,2,2,2
2442,"m9",3,1,3,3
2674,"m9",3,3,3,2
3032,"m9",3,1,3,3
2388,"m9",3,1,3,3
2358,"m9",3,1,3,3
4146,"m9",3,1,3,3
74,"m9",3,3,3,2
3204,"m9",3,2,2,2
3461,"m9",3,1,3,3
4411,"m9",3,1,3,3
2409,"m9",3,2,2,2
2687,"m9",3,1,3,3
2557,"m9",3,1,3,3
2327,"m9",3,3,3,2
3000,"m9",3,1,3,3
2424,"m9",3,3,3,2
2523,"m9",3,3,3,2
2553,"m9",3,4,2,3
3385,"m9",3,1,3,3
2901,"m9",3,1,3,3
3272,"m9",3,1,3,3
2319,"m9",3,2,2,2
2458,"m9",3,1,3,3
2341,"m9",3,3,3,2
2707,"m9",3,2,2,2
2769,"m9",3,4,2,3
2535,"m9",3,1,3,3
2435,"m9",3,4,2,3
2664,"m9",3,4,2,3
2532,"m9",3,3,3,2
2350,"m9",3,3,3,2
3030,"m9",3,1,3,3
3407,"m9",3,1,3,3
2351,"m9",3,1,3,3
3298,"m9",3,2,2,2
2485,"m9",3,1,3,3
2422,"m9",3,5,1,2
4085,"m9",3,1,3,3
2352,"m9",3,1,3,3
2613,"m9",3,1,3,3
2708,"m9",3,1,3,3
2495,"m9",3,1,3,3
4166,"m9",3,4,2,3
2386,"m9",3,1,3,3
2461,"m9",3,4,2,3
3800,"m9",3,1,3,3
2941,"m9",3,3,3,2
2952,"m9",3,3,3,2
2948,"m9",3,2,2,2
2318,"m9",3,3,3,2
4309,"m9",3,1,3,3
3133,"m9",3,1,3,3
3866,"m9",3,2,2,2
2502,"m9",3,1,3,3
2392,"m9",3,1,3,3
2815,"m9",3,1,3,3
2800,"m9",3,1,3,3
3708,"m9",3,1,3,3
3058,"m9",3,1,3,3
2570,"m9",3,2,2,2
2788,"m9",3,1,3,3
2398,"m9",3,3,3,2
2741,"m9",3,1,3,3
2703,"m9",3,1,3,3
3901,"m9",3,3,3,2
2328,"m9",3,3,3,2
2604,"m9",2,1,3,3
3256,"m9",2,2,2,2
2389,"m9",2,1,3,3
3912,"m9",2,1,3,3
4062,"m9",2,3,2,3
3326,"m9",2,1,3,3
3421,"m9",2,1,3,3
2600,"m9",2,1,3,3
3166,"m9",2,1,3,3
4047,"m9",2,4,1,2
2534,"m9",2,5,3,2
3072,"m9",2,5,3,2
3952,"m9",2,1,3,3
2508,"m9",2,2,2,2
3126,"m9",2,5,3,2
2496,"m9",2,1,3,3
4043,"m9",2,1,3,3
3448,"m9",2,1,3,3
2513,"m9",2,2,2,2
3048,"m9",2,1,3,3
2912,"m9",2,2,2,2
3289,"m9",2,5,3,2
2448,"m9",2,5,3,2
3187,"m9",2,5,3,2
2519,"m9",2,2,2,2
2994,"m9",2,1,3,3
4229,"m9",2,2,2,2
2492,"m9",2,1,3,3
2969,"m9",2,5,3,2
2498,"m9",2,1,3,3
2694,"m9",2,3,2,3
3426,"m9",2,5,3,2
3817,"m9",2,1,3,3
3026,"m9",2,1,3,3
3254,"m9",2,1,3,3
2883,"m9",2,2,2,2
3848,"m9",2,1,3,3
3229,"m9",2,1,3,3
4434,"m9",2,6,1,3
2504,"m9",2,5,3,2
4358,"m9",2,1,3,3
2789,"m9",2,2,2,2
2767,"m9",2,1,3,3
3088,"m9",2,3,2,3
2391,"m9",2,2,2,2
2857,"m9",2,5,3,2
3219,"m9",2,5,3,2
2512,"m9",2,2,2,2
4300,"m9",2,3,2,3
2400,"m9",2,3,2,3
2425,"m9",2,1,3,3
4460,"m9",2,5,3,2
2803,"m9",2,5,3,2
3029,"m9",2,1,3,3
3476,"m9",2,1,3,3
2787,"m9",2,2,2,2
3303,"m9",2,1,3,3
2443,"m9",2,5,3,2
2383,"m9",2,1,3,3
2514,"m9",2,5,3,2
4407,"m9",2,3,2,3
4035,"m9",2,1,3,3
2414,"m9",2,5,3,2
3757,"m9",2,3,2,3
4052,"m9",2,1,3,3
2918,"m9",2,5,3,2
2390,"m9",2,5,3,2
2420,"m9",2,1,3,3
2416,"m9",2,3,2,3
4410,"m9",1,1,2,3
5195,"m9",1,1,2,3
4165,"m9",1,2,2,2
4193,"m9",1,3,1,3
3217,"m9",1,3,1,3
3799,"m9",1,4,3,3
3890,"m9",1,1,2,3
2956,"m9",1,1,2,3
2773,"m9",1,2,2,2
5210,"m9",1,1,2,3
2477,"m9",1,5,3,2
2718,"m9",1,1,2,3
4413,"m9",1,1,2,3
4049,"m9",1,4,3,3
2724,"m9",1,2,2,2
2515,"m9",1,4,3,3
5299,"m9",1,4,3,3
3068,"m9",1,4,3,3
2719,"m9",1,6,3,1
3931,"m9",1,2,2,2
2586,"m9",1,4,3,3
3724,"m9",1,1,2,3
3692,"m9",1,4,3,3
2367,"m9",1,4,3,3
4131,"m9",1,4,3,3
3366,"m9",1,4,3,3
4731,"m9",1,4,3,3
3967,"m9",1,2,2,2
3007,"m9",1,4,3,3
3715,"m9",1,2,2,2
2529,"m9",1,5,3,2
4489,"m9",1,5,3,2
3294,"m9",1,5,3,2
3903,"m9",1,5,3,2
2643,"m9",1,2,2,2
3428,"m9",1,5,3,2
2896,"m9",1,5,3,2
2446,"m9",1,2,2,2
4452,"m9",1,4,3,3
2886,"m9",1,4,3,3
4289,"m9",1,1,2,3
3310,"m9",1,5,3,2
4150,"m9",1,1,2,3
2646,"m9",1,5,3,2
4279,"m9",1,1,2,3
3070,"m9",1,1,2,3
3514,"m9",1,2,2,2
4606,"m9",1,4,3,3
2636,"m9",1,2,2,2
3894,"m9",1,2,2,2
4833,"m9",1,1,2,3
2748,"m9",1,4,3,3
2637,"m9",1,4,3,3
3198,"m9",1,4,3,3
4723,"m9",1,2,2,2
4400,"m9",1,1,2,3
4917,"m9",1,4,3,3
4742,"m9",1,1,2,3
2989,"m9",1,5,3,2
2660,"m9",1,2,2,2
3189,"m9",1,1,2,3
2315,"m9",1,1,2,3
4758,"m9",1,2,2,2
3971,"m9",1,1,2,3
5377,"m9",1,2,2,2
3395,"m9",1,1,2,3
2960,"m9",1,1,2,3
2377,"m9",1,5,3,2
3881,"m9",1,1,2,3
3285,"m8",3,1,3,3
2821,"m8",3,2,2,3
3185,"m8",3,3,3,2
2442,"m8",3,2,2,3
2674,"m8",3,2,2,3
3032,"m8",3,1,3,3
2388,"m8",3,2,2,3
2358,"m8",3,1,3,3
4146,"m8",3,2,2,3
74,"m8",3,1,3,3
3204,"m8",3,3,3,2
3461,"m8",3,1,3,3
4411,"m8",3,1,3,3
2409,"m8",3,4,2,2
2687,"m8",3,1,3,3
2557,"m8",3,1,3,3
2327,"m8",3,1,3,3
3000,"m8",3,1,3,3
2424,"m8",3,1,3,3
2523,"m8",3,1,3,3
2553,"m8",3,3,3,2
3385,"m8",3,1,3,3
2901,"m8",3,1,3,3
3272,"m8",3,1,3,3
2319,"m8",3,3,3,2
2458,"m8",3,1,3,3
2341,"m8",3,2,2,3
2707,"m8",3,3,3,2
2769,"m8",3,3,3,2
2535,"m8",3,1,3,3
2435,"m8",3,3,3,2
2664,"m8",3,3,3,2
2532,"m8",3,2,2,3
2350,"m8",3,1,3,3
3030,"m8",3,1,3,3
3407,"m8",3,1,3,3
2351,"m8",3,1,3,3
3298,"m8",3,3,3,2
2485,"m8",3,1,3,3
2422,"m8",3,5,1,1
4085,"m8",3,1,3,3
2352,"m8",3,1,3,3
2613,"m8",3,2,2,3
2708,"m8",3,1,3,3
2495,"m8",3,2,2,3
4166,"m8",3,3,3,2
2386,"m8",3,2,2,3
2461,"m8",3,3,3,2
3800,"m8",3,1,3,3
2941,"m8",3,2,2,3
2952,"m8",3,1,3,3
2948,"m8",3,3,3,2
2318,"m8",3,1,3,3
4309,"m8",3,1,3,3
3133,"m8",3,1,3,3
3866,"m8",3,3,3,2
2502,"m8",3,1,3,3
2392,"m8",3,2,2,3
2815,"m8",3,1,3,3
2800,"m8",3,1,3,3
3708,"m8",3,1,3,3
3058,"m8",3,1,3,3
2570,"m8",3,4,2,2
2788,"m8",3,1,3,3
2398,"m8",3,1,3,3
2741,"m8",3,2,2,3
2703,"m8",3,1,3,3
3901,"m8",3,1,3,3
2328,"m8",3,1,3,3
2604,"m8",2,1,3,3
3256,"m8",2,2,3,2
2389,"m8",2,1,3,3
3912,"m8",2,1,3,3
4062,"m8",2,2,3,2
3326,"m8",2,1,3,3
3421,"m8",2,1,3,3
2600,"m8",2,3,1,3
3166,"m8",2,4,2,3
4047,"m8",2,5,2,1
2534,"m8",2,4,2,3
3072,"m8",2,1,3,3
3952,"m8",2,4,2,3
2508,"m8",2,6,1,2
3126,"m8",2,1,3,3
2496,"m8",2,1,3,3
4043,"m8",2,1,3,3
3448,"m8",2,1,3,3
2513,"m8",2,2,3,2
3048,"m8",2,1,3,3
2912,"m8",2,2,3,2
3289,"m8",2,4,2,3
2448,"m8",2,1,3,3
3187,"m8",2,4,2,3
2519,"m8",2,2,3,2
2994,"m8",2,1,3,3
4229,"m8",2,7,2,2
2492,"m8",2,1,3,3
2969,"m8",2,3,1,3
2498,"m8",2,1,3,3
2694,"m8",2,2,3,2
3426,"m8",2,1,3,3
3817,"m8",2,1,3,3
3026,"m8",2,1,3,3
3254,"m8",2,1,3,3
2883,"m8",2,2,3,2
3848,"m8",2,4,2,3
3229,"m8",2,3,1,3
4434,"m8",2,8,3,1
2504,"m8",2,1,3,3
4358,"m8",2,1,3,3
2789,"m8",2,2,3,2
2767,"m8",2,1,3,3
3088,"m8",2,2,3,2
2391,"m8",2,7,2,2
2857,"m8",2,4,2,3
3219,"m8",2,1,3,3
2512,"m8",2,7,2,2
4300,"m8",2,7,2,2
2400,"m8",2,2,3,2
2425,"m8",2,1,3,3
4460,"m8",2,3,1,3
2803,"m8",2,1,3,3
3029,"m8",2,1,3,3
3476,"m8",2,1,3,3
2787,"m8",2,2,3,2
3303,"m8",2,1,3,3
2443,"m8",2,1,3,3
2383,"m8",2,1,3,3
2514,"m8",2,4,2,3
4407,"m8",2,2,3,2
4035,"m8",2,4,2,3
2414,"m8",2,4,2,3
3757,"m8",2,2,3,2
4052,"m8",2,1,3,3
2918,"m8",2,1,3,3
2390,"m8",2,4,2,3
2420,"m8",2,1,3,3
2416,"m8",2,2,3,2
4410,"m8",1,1,3,2
5195,"m8",1,1,3,2
4165,"m8",1,1,3,2
4193,"m8",1,2,1,1
3217,"m8",1,2,1,1
3799,"m8",1,3,3,3
3890,"m8",1,4,2,2
2956,"m8",1,1,3,2
2773,"m8",1,1,3,2
5210,"m8",1,4,2,2
2477,"m8",1,3,3,3
2718,"m8",1,4,2,2
4413,"m8",1,1,3,2
4049,"m8",1,5,2,3
2724,"m8",1,1,3,2
2515,"m8",1,3,3,3
5299,"m8",1,5,2,3
3068,"m8",1,5,2,3
2719,"m8",1,3,3,3
3931,"m8",1,4,2,2
2586,"m8",1,3,3,3
3724,"m8",1,1,3,2
3692,"m8",1,5,2,3
2367,"m8",1,3,3,3
4131,"m8",1,5,2,3
3366,"m8",1,3,3,3
4731,"m8",1,3,3,3
3967,"m8",1,1,3,2
3007,"m8",1,3,3,3
3715,"m8",1,4,2,2
2529,"m8",1,5,2,3
4489,"m8",1,3,3,3
3294,"m8",1,5,2,3
3903,"m8",1,3,3,3
2643,"m8",1,1,3,2
3428,"m8",1,5,2,3
2896,"m8",1,3,3,3
2446,"m8",1,1,3,2
4452,"m8",1,5,2,3
2886,"m8",1,3,3,3
4289,"m8",1,4,2,2
3310,"m8",1,5,2,3
4150,"m8",1,1,3,2
2646,"m8",1,3,3,3
4279,"m8",1,4,2,2
3070,"m8",1,1,3,2
3514,"m8",1,1,3,2
4606,"m8",1,5,2,3
2636,"m8",1,1,3,2
3894,"m8",1,4,2,2
4833,"m8",1,1,3,2
2748,"m8",1,3,3,3
2637,"m8",1,5,2,3
3198,"m8",1,5,2,3
4723,"m8",1,1,3,2
4400,"m8",1,1,3,2
4917,"m8",1,3,3,3
4742,"m8",1,1,3,2
2989,"m8",1,5,2,3
2660,"m8",1,4,2,2
3189,"m8",1,4,2,2
2315,"m8",1,4,2,2
4758,"m8",1,4,2,2
3971,"m8",1,1,3,2
5377,"m8",1,4,2,2
3395,"m8",1,1,3,2
2960,"m8",1,4,2,2
2377,"m8",1,3,3,3
3881,"m8",1,4,2,2
3285,"m7",3,1,2,3
2821,"m7",3,2,2,2
3185,"m7",3,1,2,3
2442,"m7",3,2,2,2
2674,"m7",3,2,2,2
3032,"m7",3,3,1,3
2388,"m7",3,2,2,2
2358,"m7",3,1,2,3
4146,"m7",3,4,3,2
74,"m7",3,1,2,3
3204,"m7",3,1,2,3
3461,"m7",3,5,3,3
