"userid","ModEffort","nextmod","Cluster"
2383,8,9,1
2389,6,8,2
2390,6,9,3
2391,2,9,4
2400,8,8,5
2414,6,9,3
2416,8,8,5
2420,4,8,6
2425,6,4,7
2443,2,9,4
2448,8,7,8
2492,8,3,9
2496,6,8,2
2498,6,8,2
2504,9,9,10
2508,5,8,11
2512,8,9,1
2513,5,8,11
2514,6,6,12
2519,8,8,5
2534,6,9,3
2600,8,8,5
2604,6,9,3
2694,5,5,13
2767,8,9,1
2787,8,8,5
2789,5,8,11
2803,6,8,2
2857,4,7,14
2883,3,9,15
2912,6,8,2
2918,9,4,16
2969,8,8,5
2994,8,8,5
3026,9,8,17
3029,3,9,15
3048,6,8,2
3072,6,6,12
3088,8,8,5
3126,8,9,1
3166,6,8,2
3187,8,8,5
3219,8,9,1
3229,8,9,1
3254,8,9,1
3256,8,9,1
3289,4,9,18
3303,8,9,1
3326,9,9,10
3421,8,4,19
3426,9,9,10
3448,9,9,10
3476,7,9,20
3757,8,8,5
3817,6,9,3
3848,8,8,5
3912,9,3,21
3952,6,8,2
4035,8,9,1
4043,6,9,3
4047,8,8,5
4052,8,8,5
4062,4,3,22
4229,9,9,10
4300,5,9,23
4358,8,5,24
4407,2,7,25
4434,6,6,12
4460,6,8,2
