"userid","ModEffort","nextmod","Cluster"
2383,9,8,1
2389,8,8,2
2390,9,6,3
2391,9,8,1
2400,8,6,4
2414,9,6,3
2416,8,6,4
2420,8,6,4
2425,4,9,5
2443,9,6,3
2448,7,6,6
2492,3,6,7
2496,8,6,4
2498,8,6,4
2504,9,6,3
2508,8,6,4
2512,9,5,8
2513,8,6,4
2514,6,6,9
2519,8,8,2
2534,9,6,3
2600,8,6,4
2604,9,8,1
2694,5,8,10
2767,9,6,3
2787,8,8,2
2789,8,6,4
2803,8,6,4
2857,7,6,6
2883,9,2,11
2912,8,6,4
2918,4,9,5
2969,8,6,4
2994,8,6,4
3026,8,6,4
3029,9,6,3
3048,8,9,12
3072,6,6,9
3088,8,6,4
3126,9,6,3
3166,8,6,4
3187,8,8,2
3219,9,6,3
3229,9,6,3
3254,9,6,3
3256,9,5,8
3289,9,4,13
3303,9,8,1
3326,9,9,14
3421,4,1,15
3426,9,6,3
3448,9,9,14
3476,9,6,3
3757,8,8,2
3817,9,1,16
3848,8,6,4
3912,3,9,17
3952,8,8,2
4035,9,6,3
4043,9,6,3
4047,8,6,4
4052,8,8,2
4062,3,2,18
4229,9,1,16
4300,9,6,3
4358,5,1,19
4407,7,2,20
4434,6,6,9
4460,8,6,4
