"userid","ModEffort","nextmod","Cluster"
2315,9,8,1
2367,9,6,2
2377,2,6,3
2446,8,6,4
2477,9,4,5
2515,3,1,6
2529,8,9,7
2586,9,8,1
2636,6,7,8
2637,9,6,2
2643,8,8,9
2646,3,8,10
2660,8,6,4
2718,2,1,11
2719,9,6,2
2724,7,8,12
2748,9,8,1
2773,6,6,13
2886,8,9,7
2896,9,6,2
2956,9,6,2
2960,9,5,14
2989,8,8,9
3007,9,9,15
3068,9,5,14
3070,9,8,1
3189,9,8,1
3198,9,6,2
3217,3,9,16
3294,8,6,4
3310,2,6,3
3366,9,8,1
3395,9,1,17
3428,9,8,1
3514,3,9,16
3692,6,5,18
3715,9,6,2
3724,2,1,11
3799,9,4,5
3881,6,8,19
3890,8,8,9
3894,3,1,6
3903,8,8,9
3931,2,6,3
3967,8,6,4
3971,9,6,2
4049,8,9,7
4131,2,8,20
4150,5,1,21
4165,3,4,22
4193,8,1,23
4279,2,6,3
4289,3,2,24
4400,8,8,9
4410,7,1,25
4413,9,9,15
4452,9,6,2
4489,9,6,2
4606,5,9,26
4723,9,8,1
4731,8,8,9
4742,3,9,16
4758,8,9,7
4833,9,5,14
4917,8,5,27
5195,9,8,1
5210,9,1,17
5299,9,1,17
5377,9,5,14
